@ HyperIMU -ianovir - 2018
@ Date:Mon Nov 25 13:50:44 GMT+00:00 2019, Sampling Rate:100ms

LIS3DH_Accelerometer.x,LIS3DH_Accelerometer.y,LIS3DH_Accelerometer.z,L3GD20_Gyroscope.x,L3GD20_Gyroscope.y,L3GD20_Gyroscope.z,AK8963_Magnetometer.x,AK8963_Magnetometer.y,AK8963_Magnetometer.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,Orientation.x,Orientation.y,Orientation.z
-2.1574554,0.9806671,8.669083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1571808,1.5102234,12.121017,0.0,0.0,0.0,17.941284,-18.4021,-42.99469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1964111,0.19613647,10.924606,-0.77453613,-0.45887756,-0.21035767,18.292236,-19.464111,-44.363403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9806671,0.66685486,13.140915,1.3830261,-0.5309601,0.98446655,14.425659,-22.294617,-44.7052,-0.35073078,-1.4771208,0.34305286,-0.04882945,0.076261036,0.9439174,216.72113,-6.5513115,-8.083202
-0.17651367,0.9022064,11.101135,0.14053345,0.070114136,-0.34475708,13.897705,-23.179626,-43.849182,0.83078617,-0.37780464,2.1318064,-0.005916644,0.08425655,0.9396113,218.58406,-8.90288,-3.8421118
-0.11767578,1.5298309,10.140076,-0.2394104,0.12265015,-0.4119568,14.425659,-24.41864,-44.7052,0.6458633,0.69831574,0.56874466,-0.016236441,0.07921656,0.9288656,222.18582,-7.8132863,-5.015992
0.43148804,0.7060852,8.982895,-0.64501953,0.41586304,-0.27757263,14.953613,-23.53363,-47.613525,1.238507,-0.1386168,-0.18863297,-0.021768892,0.060581997,0.9265683,223.36082,-5.536728,-4.8899
0.21574402,0.4118805,6.8058167,0.00491333,-0.028823853,-0.4938202,16.007996,-21.76361,-50.694275,0.8682318,0.088006854,-3.957425,-0.034866855,0.0306825,0.92089224,225.51808,-1.6982473,-5.046717
0.019607544,0.09806824,10.35582,0.00491333,-0.017822266,-0.84443665,15.4800415,-22.64862,-52.91748,0.77572,0.041497946,1.0990801,-0.03021995,0.026819061,0.90874696,229.07765,-1.3585122,-4.427936
-0.13729858,0.11767578,9.924332,-0.0011749268,0.011474609,9.765625E-4,14.953613,-22.825623,-53.08838,0.5762716,-0.06937857,0.7841711,-0.027415955,0.023235047,0.9019169,230.98615,-1.0517912,-3.9826915
-0.13729858,0.19613647,10.042007,0.0073547363,-0.0019378662,-2.4414062E-4,14.601135,-23.53363,-52.06299,0.46946174,-0.009233579,0.7994299,-0.025128277,0.021878745,0.90334177,230.63081,-1.0356299,-3.6757913
-0.13729858,0.13729858,10.0224,0.0037078857,-7.324219E-4,-0.0014801025,14.776611,-24.064636,-52.575684,0.4086513,0.0075862855,0.74913216,-0.022785781,0.020678395,0.90564936,230.03148,-1.0436187,-3.3687572
-0.17651367,0.13729858,9.924332,3.0517578E-5,0.0017089844,0.007080078,15.4800415,-23.002625,-50.180054,0.3678435,-0.029949963,0.5851326,-0.020862462,0.01934816,0.9094191,229.02028,-1.0259563,-3.0955229
-0.11767578,0.13729858,9.963562,3.0517578E-5,-0.0056152344,9.765625E-4,14.953613,-24.241638,-52.404785,0.29201815,-0.022653744,0.60314274,-0.018221484,0.017437683,0.9123316,228.23647,-0.97084945,-2.7226171
-0.13729858,0.13729858,10.002777,-0.008514404,0.0017089844,9.765625E-4,15.129089,-23.002625,-52.575684,0.24446592,-5.3194165E-4,0.46203423,-0.015949337,0.016045824,0.9150406,227.49045,-0.947336,-2.4135962
-0.13729858,0.17651367,9.865494,-0.0023956299,5.0354004E-4,-2.4414062E-4,15.655518,-24.241638,-52.746582,0.22459227,-0.022555351,0.39380455,-0.013998479,0.015133585,0.9175637,226.7808,-0.9550276,-2.1609466
-0.13729858,0.11767578,9.904724,0.0012664795,-0.010498047,-2.4414062E-4,14.425659,-24.41864,-50.180054,0.20801467,-0.035126477,0.3512926,-0.012429005,0.0138746,0.9202673,226.00754,-0.9070308,-1.9324771
-0.07846069,0.13729858,9.924332,-0.0036315918,-0.0031738281,-2.4414062E-4,14.776611,-22.64862,-52.575684,0.20905474,-0.03563328,0.26181793,-0.010618167,0.013000327,0.92246246,225.37045,-0.905325,-1.697277
-0.13729858,0.09806824,9.924332,0.00491333,-0.0019378662,0.0021972656,14.776611,-22.64862,-50.52185,0.19274864,-0.034372196,0.21970558,-0.008959207,0.012129337,0.9244275,224.7925,-0.89399934,-1.4788694
-0.15690613,0.11767578,9.98317,0.0012664795,0.010269165,-0.0014801025,15.655518,-23.179626,-52.06299,0.11337906,-0.03156711,0.22773075,-0.008083888,0.011510374,0.9267,224.10948,-0.87470925,-1.3539026
