@ HyperIMU -ianovir - 2018
@ Date:Mon Nov 25 07:27:40 GMT+00:00 2019, Sampling Rate:100ms

LIS3DH_Accelerometer.x,LIS3DH_Accelerometer.y,LIS3DH_Accelerometer.z,L3GD20_Gyroscope.x,L3GD20_Gyroscope.y,L3GD20_Gyroscope.z,AK8963_Magnetometer.x,AK8963_Magnetometer.y,AK8963_Magnetometer.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,Orientation.x,Orientation.y,Orientation.z
0.0,0.0,0.0,0.0,0.0,0.0,15.129089,-0.35247803,-29.99115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.425659,-2.4765015,-31.70166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.304565,0.17852783,-31.188965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.11767578,0.15690613,9.98317,1.8310547E-4,6.4086914E-4,0.0033569336,16.358948,-3.0075073,-30.162048,-0.017784506,0.027462453,-0.017861366,8.2354445E-4,0.008132,0.7260705,266.8763,-0.7415398,-0.5722089
-0.09806824,0.13729858,10.06163,0.002609253,-5.79834E-4,-3.0517578E-4,14.425659,-1.0604858,-30.332947,-0.00117708,0.037579015,0.007966042,0.0012589091,0.008378605,0.7261128,266.8688,-0.796399,-0.5553627
-0.07846069,0.13729858,9.963562,0.0038452148,0.007965088,0.0058135986,14.953613,-0.8834839,-30.503845,0.01701548,0.020504639,-0.03110981,0.0019057913,0.00894832,0.725472,266.97443,-0.89426976,-0.5472465
-0.07846069,0.11767578,10.0224,0.002609253,0.0055236816,-3.0517578E-4,15.83252,-1.7684937,-29.649353,0.016704753,-0.037397906,0.029107094,0.0018897546,0.00890394,0.7251148,267.03397,-0.8890318,-0.5455417
-0.11767578,0.19613647,9.904724,-0.0022583008,0.0030822754,0.0058135986,14.250183,-1.9454956,-31.530762,-0.023848288,-0.0013458729,0.050857544,0.0020499157,0.008974659,0.7249836,267.05566,-0.9074446,-0.53798485
-0.11767578,0.13729858,9.963562,-0.005935669,-0.003036499,-3.0517578E-4,14.953613,-0.8834839,-30.847168,0.019244552,-0.037709117,0.06558418,0.0017997451,0.009001845,0.72573304,266.93082,-0.8905703,-0.55994576
-0.15690613,0.15690613,10.042007,0.006286621,0.001876831,0.0033569336,14.776611,-0.70648193,-31.70166,5.226284E-4,-0.05834213,0.04543686,0.0017969876,0.009070196,0.7261721,266.85754,-0.8963997,-0.5649904
-0.11767578,0.13729858,10.002777,0.0074920654,-0.0018005371,9.0026855E-4,14.425659,-0.70648193,-30.332947,0.005222954,-0.019382939,0.005466461,0.0016264771,0.009242515,0.72684026,266.74573,-0.8978869,-0.5918803
-0.09806824,0.17651367,9.963562,0.002609253,6.4086914E-4,0.010696411,13.722229,-1.7684937,-30.332947,0.026322663,0.014790103,-0.011610031,0.001746923,0.009479163,0.7267592,266.75873,-0.9270109,-0.6005774
